Name,Location,Tagline,Category,Website,Founded,Description
BoloTech,Karachi  Pakistan,The Worldâ€™s First Speech therapy platform in Urdu. It is a clinical software aims at improving speech and communication.,Software,http://bolotech.com,29th December  2015 ,The Worldâ€™s First Speech therapy platform in Urdu. It is a clinical software that aims to improve speech and communication disorders  due to articulation problem and hearing impairment. The current procedure for the training is Time Consuming  Costly  Less Effective and Frustrating. We propose a solution to reduce the effort of the trainees & making the procedure time saving  cost effective and engaging for the kids.
BookHive,Karachi  Pakistan,BookHive makes reading your favorite books easy with its Triple R Formula Rent - Read - Return. ,Service,http://bookhive.pk,5th April  2017 ,BookHive.PK makes reading books simple and cost effective. For a small monthly fee  we deliver unlimited books for you to read - one book at a time. Choose your books  have them delivered to your home and picked up when you've finished reading.
BookMe.pk,Lahore  Pakistan,Bookme Is Pakistan's First Online Ticket Booking Portal That Supports Major Transport Services And Cinemas.,Business Services  Application,http://bookme.pk/,14-Mar,Pakistani startup Bookme  an online booking platform for movies  events  and bus services
Botsify,Karachi  Pakistan,Botsify helps people make chat bots without any coding knowledge.,Chatbots,https://www.botsify.com,Not Provided. ,Botsify helps people make chat bots for their facebook fan-pages and increase their conversions. It helps them integrate data from their existing platforms like WordPress  Medium  WooCommerce  Zendesk with their chat bots so their chat bot answers user queries with the data from their platform.
Branding in Asia,Seoul  South Korea,A digital publication focusing on Asia's advertising industry and successes in the marketing function.,Publishing,http://brandinginasia.com/,1st September  2014 ,A digital publication that shares news  trends  profiles  success cases  controversies  agenda's and op-eds relating to Asia's advertising industry. Coverage for Singapore  Malaysia and Pakistan is solely overseen by Babar Khan Javed.
BrandsEgo.Com,Faisalabad  Pakistan,Buy with confidence. We are Manufacturer and Exporters of Branded Garments. All products sold on our website are overruns of export orders f,E-Commerce,https://brandsego.com,1st September  2014 ,Buy with confidence. We are Manufacturer and Exporters of Branded Garments. All products sold on our website are overruns of export orders for European and American brands sourced from internationally certified textile factories from Pakistan Bangladesh Vietnam Srilanka and some other countries.
Budget Express,Karachi  Pakistan,Budget Express is your one-stop solution for all your grocery  and house-keeping needs. ,E-Commerce,http://budgetexpress.pk/,1st January  2010 ,Budget Express is leading online grocery store Karachi  Pakistan. Where you find everything likes: Grocery  Household  Beverages  and Personal care products in One Roof  with finest quality and discounted deals or best price. We offers fastest and free home delivery in Karachi.
Buyon.pk,Karachi  Pakistan ,Buyon.pk is the leading marketplace for online shopping in Pakistan ,E-Commerce,https://www.buyon.pk,14th February  2012 ,Buyon.pk is the leading marketplace for online shopping in Pakistan that has reached to 4 million+ potential customers In Pakistan. Our team and handpicked sellers to bring the best product for you through internet. Buyon.pk is the only marketplace that brings the least expensive new items on the web for example clothing  jewellery  perfumes watches and sunglasses  footwear  and numerous different things. Buy online like you have never done previously from the solace of your home. We strive to verify that the best collection of designerâ€™s wears that are brought onto your home screens. Shop Online in Pakistan with Free Home Delivery Buyon.pk offers online shopping in Pakistan with free home delivery & cash on delivery service in all major cities of Pakistan that includes Karachi  Lahore  Islamabad  Rawalpindi  Peshawar  Quetta and 60 other cities and towns. Sell Online with ZERO Investment Buyon.pk gives a great opportunity to the one who wants to be an online seller & start their business with ZERO investment. Sell online in Pakistan with Buyon.pk with no setup fees and monthly fees. Those who have started up a new business in local market  or they are sellers at Facebook can get their self registered at Buyon and can reach to their targeted potential customers. Simply register yourself as a seller at Buyon.pk  add your products to an online catalog and start making money online. Stay Connected with us at Buyon.pk Online shopping in Pakistan is now as simple as 1  2  3 with Buyon.pk. We are frequently introducing new products on daily basis so that you can easily decide how to give a new look to yourself on upcoming occasion. Keep yourself updated with latest fashion trends in Pakistan by visiting our blog. Our customer service will solve all your queries in no time. Feel free to give your precious suggestions by calling at 0341-2000530 or email us at sales@buyon.pk . We furnish you with a ton of valuable information on the most recent and popular clothing  shoes  jewelry and much more which you have to send your look taking off to the following level.
CADDWORX,White Plains  New York  USA,We provide off shore CAD and 3D design services to clients worldwide. We have offices in NY and Lahore.,Consulting  Computer Aided Drafting  3D,No Website,1st September  2010 ,Headed by a graduate Civil Engineer from Virginia Tech  this company prides itself in providing excellent off shore CAD and 3D services to clients in USA and Pakistan. We are open to anyone requiring our services anywhere in the world. We provide very competitive rates and quick turn around period. We are also getting in to gaming  mobile app and software development as well and welcome challenging projects to put our team of highly qualified and charged team to the test.
Canary Technology Solutions,Rawalpindi  Pakistan,Bringing Innovation to Healthcare through Tech.,Website,http://canarytech.co/,2014,No Description
Candoerz Ltd,Lahore  Manchester,Remote  Oversease and Freelance jobs aggregator,Jobs,http://candoerz.com,27th August  2015 ,It helps users find different types of jobs from IT companies worldwide. Remote Jobs - work from home based jobs Relocate Jobs - overseas jobs  Freelance Jobs 
Capital Stake,Lahore  Pakistan,Providing unbiased & independent research  analytics  news & views on financial markets of Pakistan,Financial Technology,https://capitalstake.com/,14-Jun,Capital Stake is a web based company providing unbiased and independent financial research & analytics on companies listed on Pakistan Stock Exchange along with providing national  international and economic news. The company aims to empower investors and the general public to take timely and accurate decisions by giving them all the data  analytics  news and insight on a single platform.
Car Chabi,Lahore  Pakistan,Car Chabiâ€™s smart device lets you do away with your car keys.,Hardware,https://carchabi.com/,2015,No Description
Careem,Dubai,Careem is a chauffeur cab booking service available in Dubai and other Emirates that makes it easy to book a cab for all your daily rides.,Sharing Economy,http://careem.com/,15th June  2012 ,Tired of waiting for a taxi? Book a professional chauffer driven ride instantly through the Careem app and never wait again! Download the free Careem app today to get a safe  reliable ride anywhere  anytime. If you need an airport transfer or just a quick ride for shopping  work  or a night out in your city  Careem is the cheap  affordable option. Book your comfortable and hassle-free ride in the Middle East in seconds!
CARiger,Karachi  Pakistan,CARiger  an online paltform to book home service of car maintenance in karachi. Verified & Reliable car mechanics are sent at your doorstep,Automotive,http://www.cariger.com,1st April  2016 ,Car maintenance in Pakistan has never been trouble free and can be an headache if its not done the right way. Cariger is an online platform to book home service for car maintenance in Karachi. Verified & Reliable car mechanics are sent at your doorstep to provide the best services in the industry. It's our aim to provide one time solution to our clients that will just break the market trend of bieng bothered by your car again and again. We at Cariger are visionary to create a better everyday for people our business idea supports this vision by offering quality repairs services and parts so that consumers can maximize their lives doing the things they love to do Cariger is the first platform in Pakistan who not only offer maintenance but major repairs as well through online bookings. We prioritize your convenience and time therefore we deliver what we commit. 
Celebrate Karachi,Karachi  Pakistan,It is an online  curated  visual and narrative based archive that traces the stories of people and places within the city.,Technology,No Website,2016,It is an online  curated  visual and narrative based archive that traces the stories of people and places within the city.
Cells.pk,Pakistan,Latest cellphone & laptops specifications  user opinions  video reviews  and price comparison from online and offline stores,Website,http://cells.pk,1st February  2016 ,Cells.pk is Pakistanâ€™s own cellphones and laptops marketplace where people can search latest devices for detail specifications  feature comparison  user opinions  video reviews and latest price list from market retailers to offer best available price to our users. On cells.pk we publish latest news and happenings from the tech-world and share industry-related articles.
Chal Chalen,Islamabad  Pakistan,Chal Chalen updates you about the upcoming events in Pakistan and helps event organizers to promote their tickets.,Events  Tourism  Blog,http://www.chalchalen.com,14th August  2016 ,Chal Chalen is an events web portal that lists the details of all the upcoming events in Pakistan and helps event organizers to promote & sell tickets with discounts to the target audience for maximum reach.
Paimona,Karachi  Pakistan,Paimona is an upscale one-stop online store for furniture and home furnishings,Home Furnishing,http://www.paimonaworks.com/,Not Provided. ,Paimona provides high quality home furnishings made in Pakistan. They believe in creating a nurturing environment for craftsmen and families
Chotaay,Karachi  Pakistan,Instant delivery services,Supply & Delivery Services,http://www.chotaay.com/,15th November  2015 ,Chotaay is an on call logistics service who provides the cheapest delivery rates in town.
Clarity.pk,Islamabad  Pakistan,Clarity.pk is a one-stop knowledge base for most of the challenges and issues faced by our digital industry community  especially Startups.,Content Portal,https://clarity.pk,1st June  2017 ,No Description
Cleanry,karachi,We pickup  wash & deliver your clean clothes at your door step,Home Services,http://www.cleanry.com,15-May,Cleanry is Pakistan's first ever online Home Laundry service. The premium cleaning service has been launched to cater to the Laundry needs of Karachi city. Initially serving the areas of DHA  Clifton and PECHS  Cleanry aims to provide a reliable and comprehensive laundry service - giving you that extra time you always wanted  and giving your precious fabrics the premium care and professional cleaning that they always deserved.
ClickMall,Lahore  Pakistan,Online Shopping is therapeutic  but even more so when you get amazing products at competitive prices. ClickMall.com brings for you your own ,E-Commerce,https://www.clickmall.com,1st January  2017 ,Online Shopping is therapeutic  but even more so when you get amazing products at competitive prices. ClickMall.com brings for you your own pick â€˜nâ€™ mix bag of the highest quality products from around the world at the best price in Pakistan.
CLIQUE Technologies,Lahore  Pakistan,Clique is an IoT startup that makes products for home and office automation. It is the fastest growing hardware startups of Pakistan.,Hardware  IoT,http://www.cliqueio.com,9th June  2015 ,Clique is a technology company committed to changing the lifestyles of people for the better. Clique aims to develop IoT-driven innovations to actualize a real technologically aided harmonious way of life. Before we are introduced to Cliqueâ€™s vision and objective  lets first look at a concept that not only has the potential to impact how we live but also how we work. An opportunity that insists on the efficiency and overall productivity of things  a recent phenomenon that has given the world a fresh perspective on the future implications of network connected devices without human interference. Surely it would be great to have a device that can track if a water pipe has burst in your basement or to be notified if there is a movement inside your home while you are away. Or say a refrigerator that orders your grocery from the market as soon as it senses the shortage of your favorite food items. Or an alarm clock that wakes you up and then notifies your coffee maker to start making the coffee for you. All these and similar innovations provide just a glimpse into what is possible when you combine the sensors  actuators  and networked intelligence used by this ever increasingly useful phenomenon  the â€˜Internet of Thingsâ€™ (IoT). Clique uses this very phenomenon as the basis for its innovations. It has undertaken a responsibility to promote and enable a better lifestyle for the people at large. Each Clique member is dedicatedly set on establishing a connected smart home which is absolutely affordable  secure  convenient  maintainable and beautiful. Clique aspires to generate home automation products that provide convenience and save you time and effort performing household tasks. When you properly manage your energy  you can reduce your energy consumption  which may help you save money. Most importantly  it lets you customize your home to fit your familyâ€™s unique needs and lifestyle. The very first product by Clique is the SmartBoard that lets you control your electrical devices at home with a single tap on your smartphone. It lets you turn your smartphone into the center of the universe while at the same time  saves you money and time. No more running around the house switching off lights and fans in the hopes of lowering electricity bills. As for the elderly and disabled residents  it supports the independent way of life. For people who have a lot on their plates  being able to easily check these items off the to-do list and to stop the obsessive worrying  SmartBoard is an effective option for a productive life. Home automation is reassuring and the products by Clique  definitely worth the investment. Its more than just a facility and luxury-itâ€™s a real time and energy saver and a key to upgrading your lifestyle! The SmartBoard has already been tested in real homes and the feedback received so far from the customer is very promising. Once installed the users can; control their devices with their mobile phone  schedule devices to turn ON/OFF automatically  dim lights or fans  see the analytics of their electricity consumption and so much more. The SmartBoard itself is designed and crafted very beautifully. Each button is backlit and is visible at night. So  no more banging your toes in the dark when trying to find the switchboard. There is also a logo on the board itself that changes color based on its connection with the internet. The logo gives SmartBoard the Apple-design like touch. 
Cloud BPO (Private) Limited,Karachi  Pakistan,We manage and operate the telecom networks of large international telecom operators using sophisticated engineering tools,Telecommunication  Consulting,http://www.cloudbpo.net,2007,CloudBPO  located in Karachi-Pakistan  is an extremely high tech next-generation IT Outsourcing organization focused on the international telecommunications industry.
Clubinternet,Lahore  Pakistan,Connecting the unconnected initiative in the Next Billion domain.,Software,http://www.clubinternet.co,14th January  2014 ,Helping people unlock the productivity of the internet for themselves through their Platform.
Coded.pk,Pakistan,Weâ€™re here to make your website amazingly attractive for your targeted customers and Locations.,Web Design & Hosting,http://www.coded.pk/,Not Provided. ,Provides web design services  support & theme customization.
Codeleets,Lahore  Pakistan,We provide services in Information Technology.,Services,http://www.codeleets.com,2016,We provide services in Information Technology.
Codenvoi,Karachi  Pakistan,Codenvoi is an initiative of people who are obsessed with quality and innovation. We are a service based startup aim to work on product too.,Consulting  Software,http://www.codenvoi.com,11th August  2015 ,We currently provide services using different technologies. We aim for working on product ideas too.
